id,lemma,pos,gender,note,gender_hint
fahrrad,Fahrrad,noun,n,,
schoen,schön,adj,,,
schoen-adv,schön,adv,,,
boese,böse,adj,,,
boese-adv,böse,adv,,,
baden,baden,verb,,,
auf,auf,prep,,,
auf-adj,auf,adj,,,
auf-adv,auf,adv,,,
gewicht,Gewicht,noun,n,,Ge-
garten,Garten,noun,m,,mein-
mehr,mehr,pron,,,
mehr-adv,mehr,adv,,,
zahlen,zahlen,verb,,,
arzt,Arzt,noun,m,,
arbeiten,arbeiten,verb,,,
aber,aber,conj,,,
aber-adv,aber,adv,,,
auge,Auge,noun,n,,
besser,besser,adj,,,
besser-verb,besser,verb,,,
zu,zu,prep,,,
zu-part,zu,part,,,
zu-adv,zu,adv,,,
zu-adj,zu,adj,,,
zurueck,zurück,adv,,,
bringen,bringen,verb,,,
danke,danke,verb,,,
dein,dein,pron,,,
denn,denn,conj,,,
denn-adv,denn,adv,,,
nach,nach,prep,,,
nach-adv,nach,adv,,,
neu,neu,adj,,,
nichts,nichts,pron,,,
nie,nie,adv,,,
nur,nur,adv,,,
nur-conj,nur,conj,,,
raum,Raum,noun,m,,
rechts,rechts,adv,,,
ja,ja,adv,,,
autobahn,Autobahn,noun,f,,
weg,weg,adv,,,
weg-conj,weg,conj,,,
weg-adj,weg,adj,,,
zeit,Zeit,noun,f,,eine-
oel,Öl,noun,n,,
zug,Zug,noun,m,,mein-
aufzug,Aufzug,noun,m,,
und,und,conj,,,
dir,dir,pron,,,
aus,aus,adv,,,
aus-adj,aus,adj,,,
aus-prep,aus,prep,,,
wie,wie,adv,,,
wie-conj,wie,conj,,,
ueber,über,prep,,,
ueber-adj,über,adj,,,
ueber-adv,über,adv,,,
licht,Licht,noun,n,,
ein,ein,num,,,
ein-part,ein,part,,,
ein-adv,ein,adv,,,
ein-adj,ein,adj,,,
wichtig,wichtig,adj,,,
wein,Wein,noun,m,,
normal,normal,adj,,,
normal-adv,normal,adv,,,
tot,tot,adj,,,
sprache,Sprache,noun,f,,eine-
farbe,Farbe,noun,f,,eine-
tun,tun,verb,,,
gross,groß,adj,,,
gehen,gehen,verb,,,
willkommen,willkommen,adj,,,
oft,oft,adv,,,
frau,Frau,noun,f,,eine-
herr,Herr,noun,m,,
feuer,Feuer,noun,n,,
lieben,lieben,verb,,,
lieben-adj,lieben,adj,,,
dich,dich,pron,,,
international,international,adj,,,
kueche,Küche,noun,f,,
familienname,Familienname,noun,m,,dein-
achtung,Achtung,noun,f,,
spielen,spielen,verb,,,
familie,Familie,noun,f,,ihre-
entschuldigung,Entschuldigung,noun,f,,
mieten,mieten,verb,,,
von,von,prep,,,
helfen,helfen,verb,,,
weiblich,weiblich,adj,,,
gehoeren,gehören,verb,,,
ehefrau,Ehefrau,noun,f,,keine-
aufstehen,aufstehen,verb,,,
seit,seit,conj,,,
seit-prep,seit,prep,,,
verstehen,verstehen,verb,,,
alt,alt,adj,,,
bitte,bitte,adv,,,
bitte-verb,bitte,verb,,,
trinken,trinken,verb,,,
lachen,lachen,verb,,,
kommen,kommen,verb,,,
lehrer,Lehrer,noun,m,,unser-
wer,wer,pron,,,
dort,dort,adv,,,
wo,wo,adv,,,
wo-conj,wo,conj,,,
wo-pron,wo,pron,,,
wann,wann,adv,,,
wann-conj,wann,conj,,,
lang,lang,adj,,,
lang-adv,lang,adv,,,
lang-prep,lang,prep,,,
lang-verb,lang,verb,,,
schwer,schwer,adj,,,
klein,klein,adj,,,
kurz,kurz,adj,,,
kurz-adv,kurz,adv,,,
vater,Vater,noun,m,,mein-
fuss,Fuß,noun,m,,
fleisch,Fleisch,noun,n,,
kopf,Kopf,noun,m,,
flasche,Flasche,noun,f,,
vor,vor,prep,,,
heissen,heißen,verb,,,
heissen-adj,heißen,adj,,,
geburtstag,Geburtstag,noun,m,,
warum,warum,adv,,,
gestern,gestern,adv,,,
zimmer,Zimmer,noun,n,,
gruss,Gruß,noun,m,,
ordnung,Ordnung,noun,f,,
verboten,verboten,verb,,,
verboten-adj,verboten,adj,,,
bis,bis,conj,,,
bis-prep,bis,prep,,,
freund,Freund,noun,m,,mein-
schuh,Schuh,noun,m,,
meist,meist,adj,,,
meist-adv,meist,adv,,,
kaffee,Kaffee,noun,m,,
gleich,gleich,adj,,,
gleich-adv,gleich,adv,,,
adresse,Adresse,noun,f,,ihre-
alter,Alter,noun,n,,
apartment,Apartment,noun,n,,-ment
arm,Arm,noun,m,,mein-
baby,Baby,noun,n,,
bad,Bad,noun,n,,
banane,Banane,noun,f,,
bank,Bank,noun,f,,eine-
bier,Bier,noun,n,,
bild,Bild,noun,n,,
bitte-noun,Bitte,noun,f,,
bogen,Bogen,noun,m,,
brief,Brief,noun,m,,dieser-
butter,Butter,noun,f,,
chef,Chef,noun,m,,dein-
computer,Computer,noun,m,,mein-
dame,Dame,noun,f,,
dank,Dank,noun,m,,
datum,Datum,noun,n,,-um
ei,Ei,noun,n,,
essen-noun,Essen,noun,n,,
film,Film,noun,m,,
firma,Firma,noun,f,,
gast,Gast,noun,m,,mein-
geld,Geld,noun,n,,Ge-
glas,Glas,noun,n,,
grad,Grad,noun,m,,
gruppe,Gruppe,noun,f,,meine-
haar,Haar,noun,n,,
hand,Hand,noun,f,,
handy,Handy,noun,n,,
herd,Herd,noun,m,,
hobby,Hobby,noun,n,,
hotel,Hotel,noun,n,,
hunger,Hunger,noun,m,,
information,Information,noun,f,,
job,Job,noun,m,,
kind,Kind,noun,n,,
kiosk,Kiosk,noun,m,,
koffer,Koffer,noun,m,,mein-
laden,Laden,noun,m,,
land,Land,noun,n,,
lied,Lied,noun,n,,
mann,Mann,noun,m,,
meer,Meer,noun,n,,
mensch,Mensch,noun,m,,
moment,Moment,noun,m,,
mutter,Mutter,noun,f,,eine-
name,Name,noun,m,,dein-
papier,Papier,noun,n,,
partner,Partner,noun,m,,dein-
party,Party,noun,f,,eine-
pass,Pass,noun,m,,
pause,Pause,noun,f,,eine-
plan,Plan,noun,m,,
post,Post,noun,f,,keine-
praxis,Praxis,noun,f,,
problem,Problem,noun,n,,
rad,Rad,noun,n,,
regen,Regen,noun,m,,
reis,Reis,noun,m,,
restaurant,Restaurant,noun,n,,
see,See,noun,m,,
sofa,Sofa,noun,n,,
sonne,Sonne,noun,f,,
sport,Sport,noun,m,,
stock,Stock,noun,m,,
student,Student,noun,m,,
tasche,Tasche,noun,f,,eine-
taxi,Taxi,noun,m,,
tee,Tee,noun,m,,dein-
telefon,Telefon,noun,n,,
test,Test,noun,m,,
text,Text,noun,m,,
ticket,Ticket,noun,n,,
toilette,Toilette,noun,f,,keine-
tomate,Tomate,noun,f,,eine-
wind,Wind,noun,m,,
wort,Wort,noun,n,,
milch,Milch,noun,f,,keine-
oma,Oma,noun,f,,
freizeit,Freizeit,noun,f,,keine-
zusammen,zusammen,adv,,,
zusammen-adj,zusammen,adj,,,
oeffnen,öffnen,verb,,,
ecke,Ecke,noun,f,,
schreiben,schreiben,verb,,,
unterschreiben,unterschreiben,verb,,,
unterschrift,Unterschrift,noun,f,,eine-
fahrer,Fahrer,noun,m,,mein-
bahn,Bahn,noun,f,,
strassenbahn,Straßenbahn,noun,f,,eine-
bahnsteig,Bahnsteig,noun,m,,
bahnhof,Bahnhof,noun,m,,
bus,Bus,noun,m,,mein-
broetchen,Brötchen,noun,n,,-chen
brot,Brot,noun,n,,
kuchen,Kuchen,noun,m,,
halle,Halle,noun,f,,
kartoffel,Kartoffel,noun,f,,
bett,Bett,noun,n,,
sich,sich,pron,,,
abfahren,abfahren,verb,,,
abfahrt,Abfahrt,noun,f,,
viel,viel,pron,,,
viel-adv,viel,adv,,,
stellen,stellen,verb,,,
schon,schon,adv,,,
schon-verb,schon,verb,,,
kindergarten,Kindergarten,noun,m,,
fliegen,fliegen,verb,,,
bekommen,bekommen,verb,,,
finden,finden,verb,,,
wandern,wandern,verb,,,
machen,machen,verb,,,
beginnen,beginnen,verb,,,
anfangen,anfangen,verb,,,
schmecken,schmecken,verb,,,
schicken,schicken,verb,,,
schicken-adj,schicken,adj,,,
fragen,fragen,verb,,,
antworten,antworten,verb,,,
scheinen,scheinen,verb,,,
stehen,stehen,verb,,,
sitzen,sitzen,verb,,,
gratulieren,gratulieren,verb,,,
klar,klar,adj,,,
klar-adv,klar,adv,,,
fernsehen,fernsehen,verb,,,
gefallen,gefallen,verb,,,
gefallen-adj,gefallen,adj,,,
auch,auch,adv,,,
gewinnen,gewinnen,verb,,,
bestellen,bestellen,verb,,,
wohnen,wohnen,verb,,,
leben,leben,verb,,,
zurzeit,zurzeit,adv,,,
wissen,wissen,verb,,,
richtig,richtig,adj,,,
richtig-adv,richtig,adv,,,
unterricht,Unterricht,noun,m,,
bauch,Bauch,noun,m,,
stunde,Stunde,noun,f,,eine-
salz,Salz,noun,n,,
erzaehlen,erzählen,verb,,,
heimat,Heimat,noun,f,,keine-
mein,mein,pron,,,
immer,immer,adv,,,
maennlich,männlich,adj,,,
gegen,gegen,prep,,,
hoch,hoch,adj,,,
hoch-adv,hoch,adv,,,
hochzeit,Hochzeit,noun,f,,eine-
tanzen,tanzen,verb,,,
obst,Obst,noun,n,,
drucken,drucken,verb,,,
drucker,Drucker,noun,m,,
puenktlich,pünktlich,adj,,,
rauchen,rauchen,verb,,,
schild,Schild,noun,n,,
flugzeug,Flugzeug,noun,n,,
flughafen,Flughafen,noun,m,,
oder,oder,conj,,,
oder-part,oder,part,,,
morgen,morgen,adv,,,
fussball,Fußball,noun,m,,
fruehstueck,Frühstück,noun,n,,
mund,Mund,noun,m,,
jetzt,jetzt,adv,,,
einmal,einmal,adv,,,
dann,dann,adv,,,
satz,Satz,noun,m,,mein-
blick,Blick,noun,m,,sein-
einfach,einfach,adj,,,
einfach-adv,einfach,adv,,,
schwimmen,schwimmen,verb,,,
fuer,für,prep,,,
grossmutter,Großmutter,noun,f,,meine-
sehr,sehr,adv,,,
bleiben,bleiben,verb,,,
abflug,Abflug,noun,m,,
abfliegen,abfliegen,verb,,,
arbeit,Arbeit,noun,f,,keine-
koennen,können,verb,,,
bekannt,bekannt,verb,,,
bekannt-adj,bekannt,adj,,,
ander,ander,adj,,,
verdienen,verdienen,verb,,,
liegen,liegen,verb,,,
kosten,kosten,verb,,,
beide,beide,pron,,,
kennen,kennen,verb,,,
durch,durch,prep,,,
durch-adv,durch,adv,,,
durch-adj,durch,adj,,,
noch,noch,adv,,,
noch-conj,noch,conj,,,
falsch,falsch,adj,,,
sagen,sagen,verb,,,
lange,lange,adv,,,
lange-adj,lange,adj,,,
lange-verb,lange,verb,,,
kein,kein,pron,,,
allein,allein,adj,,,
allein-adv,allein,adv,,,
allein-conj,allein,conj,,,
wollen,wollen,adj,,,
wollen-verb,wollen,verb,,,
geboren,geboren,verb,,,
warten,warten,verb,,,
buchstabe,Buchstabe,noun,m,,
verein,Verein,noun,m,,
eingang,Eingang,noun,m,,
bruder,Bruder,noun,m,,mein-
gluecklich,glücklich,adj,,,
jung,jung,adj,,,
laut,laut,adj,,,
laut-prep,laut,prep,,,
laut-verb,laut,verb,,,
hoeren,hören,verb,,,
spaet,spät,adj,,,
leicht,leicht,adj,,,
leicht-adv,leicht,adv,,,
eltern,Eltern,noun,,,
hausfrau,Hausfrau,noun,f,,eine-
reise,Reise,noun,f,,
muessen,müssen,verb,,,
halten,halten,verb,,,
opa,Opa,noun,m,,dein-
kino,Kino,noun,n,,
zoll,Zoll,noun,m,,
saft,Saft,noun,m,,
suchen,suchen,verb,,,
schliessen,schließen,verb,,,
kochen,kochen,verb,,,
weit,weit,adj,,,
weit-adv,weit,adv,,,
teil,Teil,noun,m,,
tochter,Tochter,noun,f,,eine-
ort,Ort,noun,m,,
kaufen,kaufen,verb,,,
leute,Leute,noun,,,
heute,heute,adv,,,
teuer,teuer,adj,,,
dorf,Dorf,noun,n,,
wetter,Wetter,noun,n,,
kollege,Kollege,noun,m,,mein-
riechen,riechen,verb,,,
mitte,Mitte,noun,f,,
schinken,Schinken,noun,m,,
schrank,Schrank,noun,m,,
duerfen,dürfen,verb,,,
sollen,sollen,verb,,,
moegen,mögen,verb,,,
erklaeren,erklären,verb,,,
krank,krank,adj,,,
nummer,Nummer,noun,f,,meine-
danken,danken,verb,,,
durst,Durst,noun,m,,
schwester,Schwester,noun,f,,keine-
leider,leider,adv,,,
sohn,Sohn,noun,m,,unser-
baeckerei,Bäckerei,noun,f,,
ende,Ende,noun,n,,
lieber,lieber,adj,,,
lieber-adv,lieber,adv,,,
rechnung,Rechnung,noun,f,,
speisekarte,Speisekarte,noun,f,,
grossvater,Großvater,noun,m,,dein-
holen,holen,verb,,,
moeglich,möglich,adj,,,
ehemann,Ehemann,noun,m,,mein-
getraenk,Getränk,noun,n,,Ge-
fehler,Fehler,noun,m,,sein-
fehlen,fehlen,verb,,,
platz,Platz,noun,m,,sein-
schluss,Schluss,noun,m,,
groesse,Größe,noun,f,,welche-
antwort,Antwort,noun,f,,keine-
bein,Bein,noun,n,,
beispiel,Beispiel,noun,n,,
dauern,dauern,verb,,,
schule,Schule,noun,f,,keine-
feier,Feier,noun,f,,eine-
frage,Frage,noun,f,,eine-
fieber,Fieber,noun,n,,
gespraech,Gespräch,noun,n,,Ge-
gemuese,Gemüse,noun,n,,Ge-
gleis,Gleis,noun,n,,
glueck,Glück,noun,n,,
hilfe,Hilfe,noun,f,,keine-
jacke,Jacke,noun,f,,meine-
klasse,Klasse,noun,f,,
kunde,Kunde,noun,m,,
leben-noun,Leben,noun,n,,
naechst,nächst,prep,,,
lernen,lernen,verb,,,
miete,Miete,noun,f,,
moebel,Möbel,noun,n,,
preis,Preis,noun,m,,
schlecht,schlecht,adj,,,
schlecht-adv,schlecht,adv,,,
stelle,Stelle,noun,f,,eine-
treppe,Treppe,noun,f,,
urlaub,Urlaub,noun,m,,dein-
erlauben,erlauben,verb,,,
wohnung,Wohnung,noun,f,,eine-
hinten,hinten,adv,,,
unten,unten,adv,,,
draussen,draußen,adv,,,
oben,oben,adv,,,
wenig,wenig,adj,,,
billig,billig,adj,,,
vielleicht,vielleicht,adv,,,
druecken,drücken,verb,,,
euer,euer,pron,,,
fertig,fertig,adj,,,
fremd,fremd,adj,,,
gerade,gerade,adj,,,
gerade-adv,gerade,adv,,,
guenstig,günstig,adj,,,
gueltig,gültig,adj,,,
leise,leise,adj,,,
leise-adv,leise,adv,,,
lieb,lieb,adj,,,
lieb-verb,lieb,verb,,,
anbieten,anbieten,verb,,,
abholen,abholen,verb,,,
weh,weh,adj,,,
anfang,Anfang,noun,m,,
spaeter,später,adj,,,
spaeter-adv,später,adv,,,
zeitung,Zeitung,noun,f,,keine-
bleistift,Bleistift,noun,m,,mein-
lustig,lustig,adj,,,
brauchen,brauchen,verb,,,
dusche,Dusche,noun,f,,eine-
unser,unser,pron,,,
pruefung,Prüfung,noun,f,,
polizei,Polizei,noun,f,,
briefmarke,Briefmarke,noun,f,,eine-
maschine,Maschine,noun,f,,keine-
kuehlschrank,Kühlschrank,noun,m,,mein-
foto,Foto,noun,n,,
woher,woher,adv,,,
wohin,wohin,adv,,,
salat,Salat,noun,m,,
kurs,Kurs,noun,m,,dieser-
automat,Automat,noun,m,,
empfaenger,Empfänger,noun,m,,
ruhig,ruhig,adj,,,
ruhig-adv,ruhig,adv,,,
aussehen,aussehen,verb,,,
internet,Internet,noun,n,,
anschluss,Anschluss,noun,m,,
geschlossen,geschlossen,verb,,,
geschlossen-adj,geschlossen,adj,,,
grillen,grillen,verb,,,
anmeldung,Anmeldung,noun,f,,
umziehen,umziehen,verb,,,
sehenswuerdigkeit,Sehenswürdigkeit,noun,f,,
kulturell,kulturell,adj,,,
automatisch,automatisch,adj,,,
studieren,studieren,verb,,,
studium,Studium,noun,n,,-um
ankommen,ankommen,verb,,,
anruf,Anruf,noun,m,,
angebot,Angebot,noun,n,,
beruf,Beruf,noun,m,,
verkaeufer,Verkäufer,noun,m,,
balkon,Balkon,noun,m,,
lokal,Lokal,noun,n,,
fruehstuecken,frühstücken,verb,,,
beamte,Beamte,noun,f,,
kasse,Kasse,noun,f,,
kriegen,kriegen,verb,,,
grosseltern,Großeltern,noun,,,
doktor,Doktor,noun,m,,
termin,Termin,noun,m,,
bezahlen,bezahlen,verb,,,
entschuldigen,entschuldigen,verb,,,
geschenk,Geschenk,noun,n,,Ge-
karte,Karte,noun,f,,eine-
ankunft,Ankunft,noun,f,,
feiern,feiern,verb,,,
zufrieden,zufrieden,adj,,,
konto,Konto,noun,n,,
loesung,Lösung,noun,f,,eine-
sofort,sofort,adv,,,
arbeitslos,arbeitslos,adj,,,
hausaufgabe,Hausaufgabe,noun,f,,
wunderbar,wunderbar,adj,,,
bedeuten,bedeuten,verb,,,
schwimmbad,Schwimmbad,noun,n,,
besuchen,besuchen,verb,,,
fuehrung,Führung,noun,f,,
jugendliche,Jugendliche,noun,f,,
auslaender,Ausländer,noun,m,,
anrufen,anrufen,verb,,,
abgeben,abgeben,verb,,,
haltestelle,Haltestelle,noun,f,,
aufhoeren,aufhören,verb,,,
ausweis,Ausweis,noun,m,,
verheiratet,verheiratet,verb,,,
verheiratet-adj,verheiratet,adj,,,
schueler,Schüler,noun,m,,
auslaendisch,ausländisch,adj,,,
kugelschreiber,Kugelschreiber,noun,m,,
reisefuehrer,Reiseführer,noun,m,,
verkaufen,verkaufen,verb,,,
lkw,Lkw,noun,m,,
fahrkarte,Fahrkarte,noun,f,,keine-
appetit,Appetit,noun,m,,
verwandte,Verwandte,noun,f,,
vorwahl,Vorwahl,noun,f,,
vermieten,vermieten,verb,,,
gepaeck,Gepäck,noun,n,,Ge-
heiraten,heiraten,verb,,,
vorname,Vorname,noun,m,,
geradeaus,geradeaus,adv,,,
aufgabe,Aufgabe,noun,f,,
frueher,früher,adj,,,
frueher-adv,früher,adv,,,
wiedersehen,Wiedersehen,noun,n,,
glueckwunsch,Glückwunsch,noun,m,,
kleidung,Kleidung,noun,f,,keine-
geschaeft,Geschäft,noun,n,,Ge-
thema,Thema,noun,n,,-ma
anzeige,Anzeige,noun,f,,diese-
wiederholen,wiederholen,verb,,,
fax,Fax,noun,m,,
anmachen,anmachen,verb,,,
familienstand,Familienstand,noun,m,,
pommes,Pommes,noun,f,,
empfehlen,empfehlen,verb,,,
schalter,Schalter,noun,m,,
vermieter,Vermieter,noun,m,,
ausgang,Ausgang,noun,m,,
uebernachten,übernachten,verb,,,
doppelzimmer,Doppelzimmer,noun,n,,
einzelzimmer,Einzelzimmer,noun,n,,
reisen,reisen,verb,,,
prospekt,Prospekt,noun,m,,
postleitzahl,Postleitzahl,noun,f,,welche-
ausland,Ausland,noun,n,,
weiter,weiter,adj,,,
weiter-adv,weiter,adv,,,
vorsicht,Vorsicht,noun,f,,
einladen,einladen,verb,,,
herzlich,herzlich,adj,,,
papiere,Papiere,noun,,,
reparieren,reparieren,verb,,,
formular,Formular,noun,n,,dieses-
benutzen,benutzen,verb,,,
einladung,Einladung,noun,f,,eine-
buchstabieren,buchstabieren,verb,,,
besichtigen,besichtigen,verb,,,
arbeitsplatz,Arbeitsplatz,noun,m,,
lebens,Lebens,noun,,,
ergebnis,Ergebnis,noun,n,,
enden,enden,verb,,,
erwachsene,Erwachsene,noun,f,,eine-
daneben,daneben,adv,,,
bisschen,bisschen,adv,,,
mitkommen,mitkommen,verb,,,
geschwister,Geschwister,noun,n,,Ge-
absender,Absender,noun,m,,
aussteigen,aussteigen,verb,,,
einsteigen,einsteigen,verb,,,
einkaufen,einkaufen,verb,,,
ausmachen,ausmachen,verb,,,
gestorben,gestorben,verb,,,
gestorben-adj,gestorben,adj,,,
hausmann,Hausmann,noun,m,,
telefonieren,telefonieren,verb,,,
aussage,Aussage,noun,f,,
ueberweisen,überweisen,verb,,,
praktikum,Praktikum,noun,n,,-um
mitmachen,mitmachen,verb,,,
geoeffnet,geöffnet,verb,,,
geoeffnet-adj,geöffnet,adj,,,
kennenlernen,kennenlernen,verb,,,
eilig,eilig,adj,,,
ausflug,Ausflug,noun,m,,
besetzt,besetzt,verb,,,
besetzt-adj,besetzt,adj,,,
moechten,möchten,verb,,,
ausfuellen,ausfüllen,verb,,,
mittel,mittel,adj,,,
geburtsort,Geburtsort,noun,m,,
auskunft,Auskunft,noun,f,,eine-
eintritt,Eintritt,noun,m,,
mitbringen,mitbringen,verb,,,
haehnchen,Hähnchen,noun,n,,-chen
mitnehmen,mitnehmen,verb,,,
selbststaendig,selbstständig,adj,,,
selbststaendig-adv,selbstständig,adv,,,
ansage,Ansage,noun,f,,
ankreuzen,ankreuzen,verb,,,
reparatur,Reparatur,noun,f,,
reisebuero,Reisebüro,noun,n,,dieses-
rezeption,Rezeption,noun,f,,
durchsage,Durchsage,noun,f,,
wiederhoeren,Wiederhören,noun,n,,
partnerin,Partnerin,noun,f,,
anrede,Anrede,noun,f,,
anklicken,anklicken,verb,,,
halbpension,Halbpension,noun,f,,
geburtsjahr,Geburtsjahr,noun,n,,Ge-
disco,Disco,noun,f,,
letzt,letzt,verb,,,
ja-part,ja,part,,,
ruhig-noun,ruhig,noun,,,
gross-adv,groß,adv,,,
laut-adv,laut,adv,,,
bitte-part,bitte,part,,,
hell-adv,hell,adv,,,
nicht-part,nicht,part,,,
hoch-noun,hoch,noun,,,
ab-adv,ab,adv,,,
unter-adj,unter,adj,,,
spaet-noun,spät,noun,,,
spaet-adv,spät,adv,,,
wer-noun,wer,noun,,,
wenig-pron,wenig,pron,,,
wenig-adv,wenig,adv,,,
wichtig-adv,wichtig,adv,,,
teuer-adv,teuer,adv,,,
denn-part,denn,part,,,
geschlossen-adv,geschlossen,adv,,,
nein,nein,part,,,
danke-part,danke,part,,,
nichts-adv,nichts,adv,,,
moeglich-adv,möglich,adv,,,
besser-adv,besser,adv,,,
naechst-adj,nächst,adj,,,
letzt-adj,letzt,adj,,,
herz,Herz,noun,n,,
mittag,Mittag,noun,m,,
herbst,Herbst,noun,m,,
fruehling,Frühling,noun,m,,
zahn,Zahn,noun,m,,mein-
nacht,Nacht,noun,f,,eine-
backen,backen,verb,,,
boden,Boden,noun,m,,
zucker,Zucker,noun,m,,
schnee,Schnee,noun,m,,
gesundheit,Gesundheit,noun,f,,
schmerz,Schmerz,noun,m,,
kaese,Käse,noun,m,,
husten,husten,verb,,,
sommer,Sommer,noun,m,,dein-
ohr,Ohr,noun,n,,
nase,Nase,noun,f,,eine-
abendessen,Abendessen,noun,n,,
blut,Blut,noun,n,,
cent,Cent,noun,m,,
decke,Decke,noun,f,,
finger,Finger,noun,m,,mein-
grippe,Grippe,noun,f,,
hals,Hals,noun,m,,
haut,Haut,noun,f,,
kilo,Kilo,noun,n,,
liter,Liter,noun,m,,
museum,Museum,noun,n,,-um
regal,Regal,noun,n,,
temperatur,Temperatur,noun,f,,deine-
theater,Theater,noun,n,,welches-
visum,Visum,noun,n,,-um
wand,Wand,noun,f,,
winter,Winter,noun,m,,
sparen,sparen,verb,,,
ziehen,ziehen,verb,,,
wurst,Wurst,noun,f,,keine-
schiff,Schiff,noun,n,,
knie,Knie,noun,n,,
waschen,waschen,verb,,,
ampel,Ampel,noun,f,,eine-
spiegel,Spiegel,noun,m,,
krankenhaus,Krankenhaus,noun,n,,
universitaet,Universität,noun,f,,eine-
ruecken,Rücken,noun,m,,mein-
suppe,Suppe,noun,f,,keine-
onkel,Onkel,noun,m,,mein-
tante,Tante,noun,f,,meine-
abbiegen,abbiegen,verb,,,
setzen,setzen,verb,,,
tragen,tragen,verb,,,
bruecke,Brücke,noun,f,,eine-
muenze,Münze,noun,f,,eine-
nachbar,Nachbar,noun,m,,mein-
wolke,Wolke,noun,f,,keine-
mittagessen,Mittagessen,noun,n,,
richtung,Richtung,noun,f,,
anziehen,anziehen,verb,,,
markt,Markt,noun,m,,
flur,Flur,noun,m,,
keller,Keller,noun,m,,
koerper,Körper,noun,m,,
lohn,Lohn,noun,m,,
schein,Schein,noun,m,,
stueck,Stück,noun,n,,
teppich,Teppich,noun,m,,
schokolade,Schokolade,noun,f,,keine-
krankheit,Krankheit,noun,f,,keine-
duschen,duschen,verb,,,
apotheke,Apotheke,noun,f,,eine-
nachbarin,Nachbarin,noun,f,,unsere-
buero,Büro,noun,n,,
tablette,Tablette,noun,f,,
bargeld,Bargeld,noun,n,,
nachmittag,Nachmittag,noun,m,,
motorrad,Motorrad,noun,n,,
alltag,Alltag,noun,m,,
vormittag,Vormittag,noun,m,,
parkplatz,Parkplatz,noun,m,,
aufwachen,aufwachen,verb,,,
supermarkt,Supermarkt,noun,m,,
schlafzimmer,Schlafzimmer,noun,n,,
wohnzimmer,Wohnzimmer,noun,n,,
badezimmer,Badezimmer,noun,n,,
kinderzimmer,Kinderzimmer,noun,n,,
ausziehen,ausziehen,verb,,,
wochenende,Wochenende,noun,n,,
